Easting,Northing,Name,Driller,Date Drilled,Abstraction Volume per day,District,Borehole Depth,Static Water Level,Yield l/s,Status,Functionality,,
550364,8489996,Sajeni  ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
550372,8512563,Njati ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
550379,8513070,Kaphili school  ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
550398,8487134,Thiwi Primary School  ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
550420,8488841,Nabwenje 2  ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
550430,8525226,Mphamba pump,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
550462,8488964,Thom  ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
550472,8524035,Karonga ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
550540,8527023,Kaundwa ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
550568,8521963,Nseule ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
550581,8496529,Lazaro   ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
550612,8526518,Chilinkholi School ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
550615,8486354,Kanja  ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
550685,8492451,Chisepo 1 ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
550798,8486421,Nkhonondo 1  ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
550864,8495803,Mtanila   ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
550885,8522816,Mfungulo ,,,,Dowa,0.00001,0.00001,0.00001,Dry well ,Functional,,
550898,8492335,Chiziri CDSS  ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
550906,8490302,Ndalamira  ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
551011,8496624,Mwanza Primary School  ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
551039,8490063,Mwasala   ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
551060,8509634,Thawale ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
551143,8492578,Chisepo borehore,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
551251,8490083,Mononga  ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
551269,8492916,Kadansana 1 ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
551379,8512232,Manyetera ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
551380,8486779,Mpaya 2  ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
551462,8525269,Inje II  - BH17,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
551550,8492546,Chisepo 3 ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
551550,8496478,Mwaza 1,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
551819,8495533,Gomango   ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
551876,8494606,Mphanji  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
551879,8525485,Moyomsana ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
551956,8496535,Chithope ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
551967,8524943,Sambani  - BH18,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
552097,8759159,Malidade,Sawa Group,8/24/2016,,Mzimba,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
552183,8492355,Chawala  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
552296,8493334,Dzongwe   ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
552340,8489769,Mandindi  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
552519,8490544,Mbangala  2,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
552523,8489502,Ndazika  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
552554,8425252,Simon,Sawa Group,8/21/2016,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
552576,8582786,Lisitu,Sawa Group,11/17/2016,,Kasungu,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
552582,8524432,Kampaliro ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
552584,8492508,Manda  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
552596,8495434,Mtima uwawa ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
552625,8489414,Chamitu Primary School  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
552650,8489633,Chiwoko  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
552677,8490502,Mbangala 2 ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
552704,8513074,Kapalanga  2,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
552733,8495049,Mkuwila 2 village,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
552806,8489207,Msaka  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
552855,8490696,Mbangala  1  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
552893,8495273,Mkuwila 1 ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
552914,8489373,Msaka  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
552982,8487196,Kalumbi  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
553098,8489080,Thumba  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
553160,8496657,Kaphenila  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
553178,8492499,Mbangala   ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
553178,8511456,Nkanile primary school ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
553196,8490575,Galauza  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
553218,8490842,Ngoko  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
553372,8491940,Chiziri primary school  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
553392,8487077,Kulumunyu  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
553451,8497497,Mwanza 2  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
553454,8521013,Kamongo school  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
553465,8801945,Chiwozga,Sawa Group,11/10/2016,,Rumphi,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
553535,8523870,Tchale ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
553603,8510775,Nkanile ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
553672,8492101,Mtaya  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
553686,8495930,Chikho 2 ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
553689,8488978,Kasela  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
553690,8491866,Nyalubwe  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
553712,8523916,Katsuka school ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
553756,8496816,Msokonezi  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
553782,8521061,Kadwa ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
553878,8495637,Gobede ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
553920,8497572,Kamkodola  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
553940,8510369,Nkanile  2,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
553965,8488880,Makanga  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
553986,8512048,Chizolowondo  2,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
554000,8492107,Mtaya ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
554046,8571812,Kamphandila,Sawa Group,10/15/2016,,Kasungu,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
554057,8498806,Nkhosa  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
554097,8494089,Kaswamiyala ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
554107,8494489,Mtalanje ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
554225,8486069,Mndendela  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
554250,8485661,Kambalakapuma   ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
554271,8486267,Mologeni   ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
554438,8485928,Kambala   ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
554485,8488743,Chingala ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
554499,8523108,Katema ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
554522,8485589,Mwazadawe  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
554682,8494128,Chandangoma ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
554699,8483739,Chingalande  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
554724,8511848,Mkuziwaduka ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
554748,8499740,Chibweza  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
554799,8488916,Kayembe Chimchira ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
554876,8518526,Vinyatsi  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
554898,8500746,Tsokomole  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
555048,8502090,Milore Primary School  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
555075,8489303,Mondwe 1 ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
555108,8488666,Namuna ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
555184,8517721,Gube protected dug well,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
555216,8494386,Kasatsi  4  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
555259,8491424,Tumbi ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
555281,8495220,Solomon 2  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
555306,8483274,Chimombo ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
555311,8489113,Chipulula  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
555352,8491286,Mizeki ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
555359,8494907,Solomon Primary School ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
555377,8488343,Mkuziwaduka ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
555391,8485706,Sandulizeni Primary School  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
555416,8488784,Chilonga Mfaifa ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
555465,8488634,"Malanda Boreho,e",,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
555471,8513584,Mazinga ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
555482,8488179,Mkwichi Primary School  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
555522,8483082,Chikhungu ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
555540,8502933,Mkwera ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
555563,8511511,Chizolowondo Health Centre ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
555581,8517342,Kachigwada  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
555609,8501573,Kasuntha ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
555643,8517786,Tchale CDSS  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
555701,8491336,Chimkoko  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
555725,8518311,Gube Sapeya  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
555733,8491566,Sankhula ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
555784,8502626,Mbingwa Health Centre ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
555804,8495258,Chaseta   ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
555879,8521750,Kachigamba Clinic  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
555887,8484994,Kawiya ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
555900,8502249,Mbingwa 2 ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
555925,8511406,Chizolowondo school ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
555953,8484321,Kwamderas ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
555961,8521466,Kachigamba Trading centre ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
555970,8491177,Mtimauwawa  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
555987,8494258,Kasatsi  3 ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
556042,8510124,Chizolowondo ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
556100,8485806,Kawese  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
556197,8521457,Kachigamba  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
556222,8484269,Kalinde ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
556319,8483017,Guma  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
556341,8518591,Kachinangwa  - BH20,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
556407,8485374,Chimbalu ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
556621,8503008,Mbingwa  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
556631,8609354,Nthembwe sch,Borehole Construction Fund,,,Kasungu,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
556711,8502924,Chunga  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
556889,8513687,Chandawe School,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
556890,8524196,Juma,Sawa Group,8/22/2016,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
556907,8485761,Mundundu School ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
556980,8495090,Madana  ,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,
557004,8513674,Kamongo ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
557102,8497002,Mwakana ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
557110,8497001,Kaufa Court  ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
557163,8499248,Kamphenga ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
557176,8499229,Kamphenga  2,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
557178,8804877,Katowo sch,Borehole Construction Fund,,,Rumphi,0.00001,0.00001,0.00001,,Functional,,
557325,8495281,Chitsosa ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
557368,8493377,Kasatsi 2  ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
557441,8517035,Chuzu  ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
557495,8491756,Chatanga ,,,,Dowa,0.00001,0.00001,0.00001,,Not-Known,,
,,Chaficana,Alimmohamed Hassam Trust,9/17/2023,10,Mulanje,43,10.4,0.00001,,Not-Known,,
,,Drahaman,Alimmohamed Hassam Trust,9/17/2023,10,Mulanje,49,4.88,0.00001,,Not-Known,,
,,Luwangwa,Alimmohamed Hassam Trust,9/16/2023,10,Mulanje,27,6.33,0.00001,,Not-Known,,
,,Mwinjira,Alimmohamed Hassam Trust,9/16/2023,10,Mulanje,40,3.18,0.00001,,Not-Known,,
557511,8517157,Chiliphiza School  ,,,,Dowa,0.00001,0.00001,0.00001,,Not-Known,,
557533,8489182,Phesele ,,,,Dowa,0.00001,0.00001,0.00001,,Not-Known,,
557585,8503970,Chimpeni Mduku school  ,,,,Dowa,0.00001,0.00001,0.00001,,Not-Known,,
557617,8486947,Sauchi ,,,,Dowa,0.00001,0.00001,0.00001,,Not-Known,,
557650,8514909,Chilambe ,,,,Dowa,0.00001,0.00001,0.00001,,Not-Known,,
557733,8525203,Chilola   ,,,,Dowa,0.00001,0.00001,0.00001,,Not-Known,,
557793,8516937,Chilenga ,,,,Dowa,0.00001,0.00001,0.00001,,Not-Known,,
557799,8491832,Daimoni primary school ,,,,Dowa,0.00001,0.00001,0.00001,,Not-Known,,
557857,8523846,Nyagra School  ,,,,Dowa,0.00001,0.00001,0.00001,,Not-Known,,
557861,8491710,Chatanga 2 ,,,,Dowa,0.00001,0.00001,0.00001,,Not-Known,,
557866,8491496,Chinomwe ,,,,Dowa,0.00001,0.00001,0.00001,,Not-Known,,
557902,8497306,Kalinde  ,,,,Dowa,0.00001,0.00001,0.00001,,Not-Known,,
558079,8483276,Kalombo ,,,,Dowa,0.00001,0.00001,0.00001,,Not-Known,,
558118,8490936,CHIMSOLO  2,,,,Dowa,0.00001,0.00001,0.00001,,Not-Known,,
558148,8492039,Ngalazuka ,,,,Dowa,0.00001,0.00001,0.00001,,Not-Known,,
558204,8525133,Gobede  ,,,,Dowa,0.00001,0.00001,0.00001,,Not-Known,,
558216,8490989,Lyson  ,,,,Dowa,0.00001,0.00001,0.00001,,Not-Known,,
558336,8496573,Msampha  ,,,,Dowa,0.00001,0.00001,0.00001,,Not-Known,,
558339,8486601,Tandwe ,,,,Dowa,0.00001,0.00001,0.00001,,Not-Known,,
558364,8485717,Elisa ,,,,Dowa,0.00001,0.00001,0.00001,,Not-Known,,
558466,8493563,Chamkakala  3,,,,Dowa,0.00001,0.00001,0.00001,,Not-Known,,
558466,8525608,Mkhungulu  ,,,,Dowa,0.00001,0.00001,0.00001,,Not-Known,,
558520,8483695,Kalulu School ,,,,Dowa,0.00001,0.00001,0.00001,,Not-Known,,
558546,8509969,Pemba  2,,,,Dowa,0.00001,0.00001,0.00001,,Not-Known,,
558618,8502505,Mzitu   ,,,,Dowa,0.00001,0.00001,0.00001,,Not-Known,,
558656,8493815,Chamkakala   ,,,,Dowa,0.00001,0.00001,0.00001,,Not-Known,,
558687,8489973,Mthunzi   2,,,,Dowa,0.00001,0.00001,0.00001,,Not-Known,,
558708,8483701,Salowa ,,,,Dowa,0.00001,0.00001,0.00001,,Not-Known,,
558748,8533397,Chika,Sawa Group,10/22/2016,,Kasungu,0.00001,0.00001,0.00001,,Not-Known,,
